Player Name,Player ID,Wickets Taken,WicketValues,Num_Bowl_Innings,WicketValue_AVG,Wickets_AVG,WicketValues_normed,WicketValue_AVG_normed,Bowling_Combined_Score
sameen gull,60.0,7,9.19544404946905,8,1.1494305061836312,0.875,0.18295995133452816,0.3655260507867837,25.598639111543037
muhammad amir khan,142.0,7,6.735335353535355,5,1.3470670707070709,1.4,0.0872492356611848,0.502453298622624,25.33308608457605
jahandad khan,5.0,5,6.655884722222222,5,1.3311769444444443,1.0,0.08415820281525893,0.4914442464153468,24.707262025529406
muhammad nawaz,430.0,11,13.10867798821549,17,0.7710987051891465,0.6470588235294118,0.3352046149519169,0.10340890458022899,24.248633080324172
shahab khan,128.0,8,8.206847727272727,7,1.1724068181818181,1.1428571428571428,0.1444985363304509,0.38144457869135173,23.927695327481125
khalid usman,325.0,5,6.357500000000001,5,1.2715,1.0,0.07254952253333279,0.4500986594702703,22.35691773081078
mubasir khan,91.0,7,8.526611111111112,8,1.065826388888889,0.875,0.1569389550663744,0.3076031572345831,21.720463593365785
saud shakeel,52.0,7,8.396304545454544,9,0.9329227272727272,0.7777777777777778,0.15186936823204464,0.21552438296380005,17.733137412474683
zahid mehmood,443.0,4,5.394783333333335,5,1.078956666666667,0.8,0.05,0.31670012167416683,15.668004866966672
saad masood,431.0,9,9.630016589918796,13,0.7407705069168304,0.6923076923076923,0.19986702902876888,0.08239681741274837,15.287894438236068
mohammad imran jr.,140.0,6,5.735923232323232,6,0.9559872053872054,1.0,0.05,0.23150399442183525,12.26015977687341
ihsanullah,71.0,6,6.249029545454547,7,0.8927185064935067,0.8571428571428571,0.06832947126034704,0.18766995574301995,11.60656650534162
aamer jamal,137.0,5,6.211062121212121,7,0.8872945887445888,0.7142857142857143,0.06685234573637226,0.183912138298469,11.367626276121095
ali majid,195.0,4,4.335222222222223,5,0.8670444444444445,0.8,0.05,0.1698823633224497,9.795294532897987
muhammad umar,104.0,7,6.922669023569024,9,0.7691854470632249,0.7777777777777778,0.0945374663228107,0.10208335447155499,9.75558215823084
mohammad hasnain,109.0,3,4.3276,5,0.8655200000000001,0.6,0.05,0.16882619245265268,9.753047698106107
maaz sadaqat,8.0,6,7.274428872053872,10,0.7274428872053872,0.6,0.10822270994610263,0.07316312985249843,9.419887790866095
waseem akram jr,201.0,4,4.124350505050506,5,0.8248701010101012,0.8,0.05,0.1406629889133014,8.626519556532056
saqib khan,47.0,4,3.7972394117647066,5,0.7594478823529414,0.8,0.05,0.09533694122754016,6.813477649101607
amad butt,92.0,5,6.210017604617605,9,0.6900019560686228,0.5555555555555556,0.06681170873892615,0.05,6.008702524335569
shoaib malik,16.0,5,5.845281818181819,10,0.5845281818181819,0.5,0.05262163526406303,0.05,5.157298115843782
