Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Muhammad Haider,247,National T20,28,1,4,1,137,6,120,143,2,87,1,2,6,yes,1,no,DNB,DNB,DNB,DNB,DNB,no
Usman Mahroof,245,National T20,11,1,4,3,149,10,120,154,6,103,0,3,2,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Qazi Mehmood Arqban,235,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Muhammad Haider,247,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Muhammad Haider,247,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Usman Mahroof,245,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Usman Mahroof,245,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Saad Asif,246,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Saad Asif,246,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Basit Ali,249,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Basit Ali,249,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Nadeem Khalil,248,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Nadeem Khalil,248,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Rohan Qadri,250,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Rohan Qadri,250,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Ammar,251,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Ammar,251,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Ammar,251,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Ali Abbas,252,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Ali Abbas,252,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Ali Abbas,252,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Shadab Majeed,253,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Shadab Majeed,253,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Shadab Majeed,253,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Raja Farhan Khan,254,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Raja Farhan Khan,254,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Ibtisam Rehman,256,National T20,7,1,1,4,199,4,120,139,8,120,DNB,DNB,DNB,DNB,5,no,18,17,2,0,"6,8",no
Raees Ahmed,255,National T20,15,1,1,3,207,3,120,183,10,116,53,39,4,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Raees Ahmed,255,National T20,7,1,1,4,199,4,120,139,8,120,20,10,6,no,0,no,DNB,DNB,DNB,DNB,DNB,no
Raees Ahmed,255,National T20,35,1,1,2,138,7,120,140,7,116,18,10,6,no,0,no,DNB,DNB,DNB,DNB,DNB,no
Ibtisam Rehman,256,National T20,35,1,1,2,138,7,120,140,7,116,6,8,7,yes,1,no,20,31,0,0,0,no
Faizan Saleem,257,National T20,17,1,4,2,164,8,120,168,5,110,4,1,10,no,0,no,20,35,0,0,0,no
Faizan Saleem,257,National T20,11,1,4,3,149,10,120,154,6,103,3,2,11,no,0,no,24,46,0,0,0,no
Raees Ahmed,255,National T20,19,1,1,2,134,10,118,135,2,99,3,8,4,yes,4,no,DNB,DNB,DNB,DNB,DNB,no
Naveed Malik,258,National T20,28,1,4,1,137,6,120,143,2,87,2,3,5,yes,2,no,12,18,0,0,0,no
